2017-12-31 18:48:34.528 [main] INFO  o.s.esbcollecthelper.Application -Starting Application on jxbai-PC with PID 8948 (E:\github\SpringBoot-MyWork\SpringBoot-EsbCollectHelper\target\classes started by lenovo in E:\github\SpringBoot-MyWork\SpringBoot-EsbCollectHelper)
2017-12-31 18:48:34.537 [main] INFO  o.s.esbcollecthelper.Application -No active profile set, falling back to default profiles: default
2017-12-31 18:48:34.628 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext -Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1b250b4: startup date [Sun Dec 31 18:48:34 CST 2017]; root of context hierarchy
2017-12-31 18:48:35.928 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration' of type [class org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-12-31 18:48:36.028 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'validator' of type [class org.springframework.validation.beanvalidation.LocalValidatorFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-12-31 18:48:36.062 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3f9fb646] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-12-31 18:48:36.799 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer -Tomcat initialized with port(s): 8080 (http)
2017-12-31 18:48:36.818 [main] INFO  o.a.catalina.core.StandardService -Starting service Tomcat
2017-12-31 18:48:36.819 [main] INFO  o.a.catalina.core.StandardEngine -Starting Servlet Engine: Apache Tomcat/7.0.59
2017-12-31 18:48:37.016 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
2017-12-31 18:48:37.017 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader -Root WebApplicationContext: initialization completed in 2389 ms
2017-12-31 18:48:37.128 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean -Mapping servlet: 'dispatcherServlet' to [/]
2017-12-31 18:48:37.129 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'characterEncodingFilter' to: [/*]
2017-12-31 18:48:37.130 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-12-31 18:48:37.130 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-12-31 18:48:37.130 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'requestContextFilter' to: [/*]
2017-12-31 18:48:37.680 [main] WARN  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext -Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'transErrorHandlerImpl': Unsatisfied dependency expressed through field 'excelWriterForExitence'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'org.bjx.helper.excel.ExcelWriterForExitence' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
2017-12-31 18:48:37.685 [main] INFO  o.s.b.a.l.AutoConfigurationReportLoggingInitializer -

Error starting ApplicationContext. To display the auto-configuration report re-run your application with 'debug' enabled.
2017-12-31 18:48:37.804 [main] ERROR o.s.b.d.LoggingFailureAnalysisReporter -

***************************
APPLICATION FAILED TO START
***************************

Description:

Field excelWriterForExitence in org.springboot.esbcollecthelper.service.esbMsgCount.impl.TransErrorHandlerImpl required a bean of type 'org.bjx.helper.excel.ExcelWriterForExitence' that could not be found.


Action:

Consider defining a bean of type 'org.bjx.helper.excel.ExcelWriterForExitence' in your configuration.

2017-12-31 18:53:52.082 [main] INFO  o.s.esbcollecthelper.Application -Starting Application on jxbai-PC with PID 8696 (E:\github\SpringBoot-MyWork\SpringBoot-EsbCollectHelper\target\classes started by lenovo in E:\github\SpringBoot-MyWork\SpringBoot-EsbCollectHelper)
2017-12-31 18:53:52.084 [main] INFO  o.s.esbcollecthelper.Application -No active profile set, falling back to default profiles: default
2017-12-31 18:53:52.136 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext -Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1b250b4: startup date [Sun Dec 31 18:53:52 CST 2017]; root of context hierarchy
2017-12-31 18:53:52.944 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration' of type [class org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-12-31 18:53:53.018 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'validator' of type [class org.springframework.validation.beanvalidation.LocalValidatorFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-12-31 18:53:53.049 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$8d8ae9ed] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-12-31 18:53:53.590 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer -Tomcat initialized with port(s): 8080 (http)
2017-12-31 18:53:53.599 [main] INFO  o.a.catalina.core.StandardService -Starting service Tomcat
2017-12-31 18:53:53.600 [main] INFO  o.a.catalina.core.StandardEngine -Starting Servlet Engine: Apache Tomcat/7.0.59
2017-12-31 18:53:53.734 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
2017-12-31 18:53:53.735 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader -Root WebApplicationContext: initialization completed in 1599 ms
2017-12-31 18:53:53.839 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean -Mapping servlet: 'dispatcherServlet' to [/]
2017-12-31 18:53:53.841 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'characterEncodingFilter' to: [/*]
2017-12-31 18:53:53.841 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-12-31 18:53:53.841 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'httpPutFormContentFilter' to: [/*]
